Ticker,MeanReturn,Volatility,Trend,MaxDrawdown,LogAvgVolume
AMGN,0.0007145639144306346,0.014075401567900846,0.00026890348458872144,-0.2019723422120752,14.956840905230068
AMH,0.0004495392967342794,0.01038007231630134,0.0005989891670122562,-0.17900171636757103,14.543457855454681
AMN,0.0006966948616816752,0.02173318682038065,-2.759498995137253e-05,-0.3208856336305062,12.98136539689599
AMPH,0.000283130212325634,0.02268622201878466,0.00030733169296679385,-0.3247626886402076,12.228954017883822
AMPY,-0.001285271619624279,0.033125985099242194,-0.0021569171661504813,-0.7748663173056897,12.163802068772393
AMRC,0.001685352295713417,0.024483374852885487,0.000966804583780718,-0.26295270306886537,11.740992114505637
AMRN,0.007545606423814935,0.1466602403178631,0.004701523556488474,-0.4599651830017219,15.83454040015997
AMS,0.0002994814524069272,0.027913433834064815,-9.825385427572055e-05,-0.40102831340066214,9.294930546528176
AMSF,0.00028987143483019353,0.013661143585505228,0.0002629193516851282,-0.19328359347670826,11.33166822429466
AMT,0.0010459651871203284,0.012179131711468415,0.0012089048738145693,-0.14676236698010048,14.497266969176827
AMX,-2.199125774717053e-05,0.017569426639257053,-0.00046734214915192295,-0.3824861630837727,14.754315166841598
AMZN,0.001059556801034244,0.019026513998274805,0.00043057434998009257,-0.3410378206028299,15.375067802561603
AN,-2.3775198648904656e-06,0.01730860363339396,-0.00016168725870628045,-0.46983872690508444,13.583929430186705
ANDE,-0.0002102579744784009,0.0218499177115114,-0.0009627161090546059,-0.5696019342769547,11.906500456556577
ANET,0.0001768982941649533,0.02872751601245042,-0.00036958741012679797,-0.4359895348136225,13.788068464390602
ANF,0.0005735802651304809,0.03647842196622807,-0.0007769768459599624,-0.5459317467045983,14.820152049970758
ANGI,-0.00019177345681814417,0.028188940756831767,-0.0013371277636176693,-0.7248722246980207,13.952494339349915
ANGO,0.00011706215975221699,0.020182993070566157,-0.00020959542162614196,-0.4310276124746548,12.376014232675262
ANSS,0.0012241874126617401,0.016036477936169972,0.0008051196167506842,-0.27808558110818365,13.11013384290812
APA,-0.0007060187618267473,0.02794680447856346,-0.0015274720053044149,-0.6271805386368098,15.36244341245989
APAM,-0.00020110224775442625,0.01759595033896358,-0.000557626501268803,-0.511003626130502,12.88238408081818
APD,0.0007737723889780575,0.012281649872616514,0.0008751519431580509,-0.14419538125224496,13.891380146971589
APEI,0.0005597885543092074,0.029657203621200202,-0.0007984515488102921,-0.5251925289008427,11.623183959955174
APH,0.0005055449672360539,0.013306795609189433,0.0002504888992262917,-0.22600266678770065,14.115144681172106
APO,0.000887163419717491,0.019427514054901122,0.00043423650153134717,-0.377922786293143,14.077833994254677
APOG,-0.0004140220372570555,0.02239655291705919,-0.0004486351474105801,-0.4734042469245505,12.366955819917676
APPF,0.0022413335420388095,0.023871226982388385,0.0019179862681159173,-0.40165105642972376,11.879370066787615
APPS,0.003451840015823201,0.03746459150189833,0.003581554545064923,-0.5258963897442775,13.995981667819013
APTO,0.0029232951156223136,0.04765641635105616,-0.0006028700091622013,-0.6422222190433078,12.887069283453757
APTV,0.0003783234390294255,0.01916510787511541,-0.00015588068689194196,-0.4163023253383436,14.322457619724181
AQN,0.0005248478829613637,0.009464461111913179,0.0007547627722229199,-0.1456834444452544,12.747199348434314
AR,-0.003187283546335783,0.036671107412339025,-0.004867278367697245,-0.9135472365842379,15.667308098196376
